claim_id,location,claim,claimed,computed,verdict
M1,§2.1,총 작품 수,3856274,3856274,PASS
M2,§2.1,원창 건수,2818576,2818576,PASS
M3,§2.1,파생 건수,572721,572721,PASS
M4,§2.1,미표기 건수,464977,464977,PASS
M5,§2.1,원창 비중 73.1%,73.1,73.091,PASS
M6,§2.1,파생 비중 14.9%,14.9,14.852,PASS
M7,§2.1,미표기 비중 12.1%,12.1,12.058,PASS
G1,표1,완결작 누락률(보정) 0.13%,0.13,0.132,PASS
G2,표1,연재·파생 누락률(보정) 14.46%,14.46,14.457,PASS
G3,표1,연재·원작 누락률(보정) 12.83%,12.83,12.831,PASS
G4,표1,완결 무일자 25.5%,25.5,25.5,PASS
G5,표1,연재·파생 무일자 92.6%,92.6,92.6,PASS
G6,표1,연재·원작 무일자 83.0%,83.0,83.0,PASS
G7,§2.2,누락분 기타연생 21.1% 대 포착분 13.6%,21.1,21.1,PASS
A1,§3.1,애정 2003년 80.8%,80.8,80.751,PASS
A2,§3.1,애정 2010년 88.2%,88.2,88.183,PASS
A3,§3.1,애정 2017년 81.9%,81.9,81.913,PASS
A4,§3.1,애정 2018년 74.2%,74.2,74.159,PASS
A5,§3.1,애정 2019년 68.1%,68.1,68.148,PASS
A6,§3.1,애정 2023년 59.5%,59.5,59.479,PASS
A7,§3.1,애정 2024년 56.4%,56.4,56.428,PASS
A8,§3.1,정점 대비 하락 31.8%p,31.8,31.755,PASS
A9,§3.1,2008–14 애정 하한 84.1%,84.1,84.125,PASS
A10,§3.1,2015–17 애정 하한 81.9%,81.9,81.913,PASS
A11,§3.1,2025–26 애정 58%대,58.0,58.195,PASS
J1,§3.1/표2,극정 2019년 5.0%,5.0,4.975,PASS
J2,§3.1,극정 2020년 9.0%,9.0,8.961,PASS
J3,§3.1,극정 2024년 14.6%,14.6,14.595,PASS
J4,표2/§4.3,극정 2018년 0.4%,0.4,0.41,PASS
X1,§3.1/§4.1,선협 2024–26 하한 6.95%,6.95,6.951,PASS
X2,§3.1/§4.1,선협 2024–26 상한 7.61%,7.61,7.611,PASS
D1,§3.2,동방연생 2009년 96.1%,96.1,96.093,PASS
D2,§3.2,동방연생 2010년 95.8%,95.8,95.817,PASS
D3,§3.2,동방연생 2017년 85.0%,85.0,85.045,PASS
D4,§3.2,동방연생 2018년 65.9%,65.9,65.88,PASS
D5,§3.2,동방연생 2019년 30.6%,30.6,30.591,PASS
D6,§3.2,2024 기타연생 34.8%,34.8,34.812,PASS
D7,§3.2,2024 경소설 24.0%,24.0,23.996,PASS
