genre,period,active_authors,genre_debut,entered_vs_prev,exited_vs_prev,retained
爱情,P1_2003-2009,120064,120064,120064,0,0
爱情,P2_2010-2016,328804,319680,320535,111795,8269
爱情,P3_2017-2019,193548,174871,176870,312126,16678
爱情,P4_2020-2023,518994,489444,496486,171040,22508
爱情,P5_2024-2026,254712,216511,225125,489407,29587
剧情,P1_2003-2009,34,34,34,0,0
剧情,P2_2010-2016,349,336,348,33,1
剧情,P3_2017-2019,6654,6179,6617,312,37
剧情,P4_2020-2023,99434,93137,98599,5819,835
剧情,P5_2024-2026,72695,61137,68497,95236,4198
奇幻,P1_2003-2009,12351,12351,12351,0,0
奇幻,P2_2010-2016,22873,22107,22630,12108,243
奇幻,P3_2017-2019,20718,18673,20208,22363,510
奇幻,P4_2020-2023,52935,48260,51759,19542,1176
奇幻,P5_2024-2026,32222,27141,30930,51643,1292
仙侠,P1_2003-2009,1124,1124,1124,0,0
仙侠,P2_2010-2016,13044,12676,12996,1076,48
仙侠,P3_2017-2019,15518,14021,15211,12737,307
仙侠,P4_2020-2023,54248,49892,53354,14624,894
仙侠,P5_2024-2026,39255,33330,37612,52605,1643
轻小说,P1_2003-2009,33,33,33,0,0
轻小说,P2_2010-2016,1015,998,1013,31,2
轻小说,P3_2017-2019,14667,13554,14592,940,75
轻小说,P4_2020-2023,63374,60390,62759,14052,615
轻小说,P5_2024-2026,26665,22603,25484,62193,1181
悬疑,P1_2003-2009,671,671,671,0,0
悬疑,P2_2010-2016,3336,3227,3316,651,20
悬疑,P3_2017-2019,6074,5378,5993,3255,81
悬疑,P4_2020-2023,20994,19507,20737,5817,257
悬疑,P5_2024-2026,15297,13044,14942,20639,355
惊悚,P1_2003-2009,1613,1613,1613,0,0
惊悚,P2_2010-2016,3879,3660,3821,1555,58
惊悚,P3_2017-2019,2913,2525,2855,3821,58
惊悚,P4_2020-2023,16231,15184,16130,2812,101
惊悚,P5_2024-2026,13750,11678,13401,15882,349
科幻,P1_2003-2009,876,876,876,0,0
科幻,P2_2010-2016,4452,4238,4434,858,18
科幻,P3_2017-2019,4653,4012,4504,4303,149
科幻,P4_2020-2023,16395,15099,16189,4447,206
科幻,P5_2024-2026,11183,9279,10902,16114,281
