market,genre,genre_total,keyword,count,pct_of_genre
原创,爱情,1962010,重生,33087,1.686
原创,爱情,1962010,快穿,27583,1.406
原创,爱情,1962010,穿越,19234,0.98
原创,爱情,1962010,喜欢,16352,0.833
原创,爱情,1962010,恋爱,15263,0.778
原创,爱情,1962010,穿书,13347,0.68
原创,爱情,1962010,爱情,13230,0.674
原创,爱情,1962010,世界,12338,0.629
原创,爱情,1962010,暗恋,11699,0.596
原创,爱情,1962010,反派,10433,0.532
原创,爱情,1962010,月光,10350,0.528
原创,爱情,1962010,娱乐,10169,0.518
原创,爱情,1962010,乐圈,9898,0.504
原创,爱情,1962010,娱乐圈,9890,0.504
原创,爱情,1962010,怎么,9670,0.493
原创,剧情,208032,快穿,4868,2.34
原创,剧情,208032,世界,3782,1.818
原创,剧情,208032,无限,3200,1.538
原创,剧情,208032,重生,3151,1.515
原创,剧情,208032,系统,2429,1.168
原创,剧情,208032,穿越,2368,1.138
原创,剧情,208032,游戏,2248,1.081
原创,剧情,208032,反派,1490,0.716
原创,剧情,208032,末世,1480,0.711
原创,剧情,208032,日常,1298,0.624
原创,剧情,208032,穿书,1279,0.615
原创,剧情,208032,大佬,1245,0.598
原创,剧情,208032,人生,1233,0.593
原创,剧情,208032,怎么,1144,0.55
原创,剧情,208032,炮灰,1098,0.528
原创,奇幻,156318,世界,4556,2.915
原创,奇幻,156318,快穿,4042,2.586
原创,奇幻,156318,穿越,2374,1.519
原创,奇幻,156318,重生,2087,1.335
原创,奇幻,156318,末世,1756,1.123
原创,奇幻,156318,系统,1751,1.12
原创,奇幻,156318,异世,1697,1.086
原创,奇幻,156318,反派,1547,0.99
原创,奇幻,156318,西幻,1449,0.927
原创,奇幻,156318,魔法,1289,0.825
原创,奇幻,156318,游戏,1264,0.809
原创,奇幻,156318,穿书,1153,0.738
原创,奇幻,156318,无限,1053,0.674
原创,奇幻,156318,拯救,998,0.638
原创,奇幻,156318,大佬,971,0.621
原创,仙侠,135663,修仙,5036,3.712
原创,仙侠,135663,师尊,3664,2.701
原创,仙侠,135663,反派,3541,2.61
