market,year,year_total,genre,count,share_pct
原创,2003,2691,爱情,2173,80.751
原创,2003,2691,奇幻,156,5.797
原创,2003,2691,武侠,151,5.611
原创,2003,2691,传奇,119,4.422
原创,2003,2691,童话,41,1.524
原创,2003,2691,惊悚,20,0.743
原创,2003,2691,科幻,17,0.632
原创,2003,2691,悬疑,10,0.372
原创,2004,8186,爱情,6644,81.163
原创,2004,8186,奇幻,643,7.855
原创,2004,8186,传奇,331,4.043
原创,2004,8186,武侠,299,3.653
原创,2004,8186,童话,97,1.185
原创,2004,8186,科幻,78,0.953
原创,2004,8186,惊悚,53,0.647
原创,2004,8186,悬疑,39,0.476
原创,2005,20473,爱情,16724,81.688
原创,2005,20473,奇幻,1817,8.875
原创,2005,20473,武侠,706,3.448
原创,2005,20473,传奇,629,3.072
原创,2005,20473,童话,234,1.143
原创,2005,20473,惊悚,156,0.762
原创,2005,20473,科幻,129,0.63
原创,2005,20473,悬疑,61,0.298
原创,2006,30724,爱情,24709,80.422
原创,2006,30724,奇幻,2695,8.772
原创,2006,30724,传奇,1144,3.723
原创,2006,30724,武侠,1080,3.515
原创,2006,30724,童话,353,1.149
原创,2006,30724,惊悚,352,1.146
原创,2006,30724,科幻,178,0.579
原创,2006,30724,悬疑,139,0.452
原创,2007,48539,爱情,39417,81.207
原创,2007,48539,奇幻,4087,8.42
原创,2007,48539,传奇,1658,3.416
原创,2007,48539,武侠,1636,3.37
原创,2007,48539,惊悚,502,1.034
原创,2007,48539,童话,469,0.966
原创,2007,48539,游戏,282,0.581
原创,2007,48539,科幻,222,0.457
原创,2008,49349,爱情,41706,84.512
原创,2008,49349,奇幻,2807,5.688
原创,2008,49349,传奇,1517,3.074
原创,2008,49349,武侠,1230,2.492
原创,2008,49349,惊悚,459,0.93
原创,2008,49349,仙侠,407,0.825
原创,2008,49349,游戏,379,0.768
原创,2008,49349,童话,377,0.764
原创,2009,56284,爱情,48917,86.911
原创,2009,56284,奇幻,2424,4.307
原创,2009,56284,传奇,1234,2.192
原创,2009,56284,武侠,1204,2.139
原创,2009,56284,仙侠,704,1.251
原创,2009,56284,游戏,573,1.018
原创,2009,56284,惊悚,444,0.789
原创,2009,56284,童话,318,0.565
原创,2010,63021,爱情,55574,88.183
原创,2010,63021,奇幻,2568,4.075
原创,2010,63021,武侠,1111,1.763
原创,2010,63021,传奇,925,1.468
原创,2010,63021,仙侠,826,1.311
原创,2010,63021,游戏,804,1.276
原创,2010,63021,惊悚,428,0.679
原创,2010,63021,童话,271,0.43
原创,2011,63067,爱情,54876,87.012
原创,2011,63067,奇幻,2764,4.383
原创,2011,63067,武侠,1157,1.835
原创,2011,63067,仙侠,1110,1.76
原创,2011,63067,传奇,903,1.432
原创,2011,63067,游戏,779,1.235
原创,2011,63067,惊悚,477,0.756
原创,2011,63067,科幻,369,0.585
原创,2012,62738,爱情,54532,86.92
原创,2012,62738,奇幻,2644,4.214
原创,2012,62738,仙侠,1187,1.892
原创,2012,62738,武侠,1024,1.632
原创,2012,62738,传奇,913,1.455
原创,2012,62738,游戏,779,1.242
原创,2012,62738,科幻,539,0.859
原创,2012,62738,惊悚,485,0.773
原创,2013,79178,爱情,68218,86.158
原创,2013,79178,奇幻,3470,4.383
原创,2013,79178,仙侠,1798,2.271
原创,2013,79178,传奇,1503,1.898
原创,2013,79178,武侠,1206,1.523
原创,2013,79178,游戏,737,0.931
原创,2013,79178,科幻,733,0.926
原创,2013,79178,惊悚,633,0.799
原创,2014,75949,爱情,63892,84.125
原创,2014,75949,奇幻,3712,4.887
原创,2014,75949,仙侠,2570,3.384
原创,2014,75949,传奇,1514,1.993
原创,2014,75949,武侠,1163,1.531
原创,2014,75949,科幻,771,1.015
原创,2014,75949,游戏,699,0.92
原创,2014,75949,惊悚,648,0.853
原创,2015,86434,爱情,71312,82.505
原创,2015,86434,奇幻,4730,5.472
原创,2015,86434,仙侠,3243,3.752
原创,2015,86434,传奇,1591,1.841
原创,2015,86434,武侠,1370,1.585
原创,2015,86434,科幻,1044,1.208
原创,2015,86434,悬疑,975,1.128
原创,2015,86434,惊悚,782,0.905
原创,2016,100080,爱情,83336,83.269
原创,2016,100080,奇幻,5143,5.139
原创,2016,100080,仙侠,3229,3.226
原创,2016,100080,传奇,1854,1.853
原创,2016,100080,武侠,1396,1.395
原创,2016,100080,科幻,1147,1.146
原创,2016,100080,悬疑,1067,1.066
原创,2016,100080,惊悚,791,0.79
原创,2017,108871,爱情,89180,81.913
原创,2017,108871,奇幻,5366,4.929
原创,2017,108871,仙侠,3531,3.243
原创,2017,108871,轻小说,3036,2.789
原创,2017,108871,传奇,1914,1.758
原创,2017,108871,科幻,1279,1.175
原创,2017,108871,武侠,1246,1.144
原创,2017,108871,悬疑,1209,1.11
原创,2018,121770,爱情,90304,74.159
原创,2018,121770,奇幻,8478,6.962
原创,2018,121770,仙侠,6161,5.06
原创,2018,121770,轻小说,5214,4.282
原创,2018,121770,悬疑,2660,2.184
原创,2018,121770,传奇,2125,1.745
原创,2018,121770,武侠,2055,1.688
原创,2018,121770,科幻,1832,1.504
原创,2019,127934,爱情,87185,68.148
原创,2019,127934,奇幻,8835,6.906
原创,2019,127934,轻小说,7740,6.05
原创,2019,127934,仙侠,6933,5.419
原创,2019,127934,剧情,6365,4.975
原创,2019,127934,悬疑,2570,2.009
原创,2019,127934,科幻,1857,1.452
原创,2019,127934,武侠,1823,1.425
原创,2020,239831,爱情,159922,66.681
原创,2020,239831,剧情,21492,8.961
原创,2020,239831,奇幻,13705,5.714
原创,2020,239831,轻小说,13387,5.582
原创,2020,239831,仙侠,13078,5.453
原创,2020,239831,悬疑,4879,2.034
原创,2020,239831,科幻,3570,1.489
原创,2020,239831,武侠,2709,1.13
原创,2021,300759,爱情,199299,66.265
原创,2021,300759,剧情,28243,9.391
原创,2021,300759,轻小说,19801,6.584
原创,2021,300759,仙侠,15708,5.223
原创,2021,300759,奇幻,14958,4.973
原创,2021,300759,悬疑,5792,1.926
原创,2021,300759,科幻,4670,1.553
原创,2021,300759,惊悚,3517,1.169
原创,2022,341095,爱情,220523,64.651
原创,2022,341095,剧情,35947,10.539
原创,2022,341095,轻小说,23922,7.013
原创,2022,341095,奇幻,17408,5.104
原创,2022,341095,仙侠,17028,4.992
原创,2022,341095,悬疑,6984,2.048
原创,2022,341095,惊悚,5381,1.578
原创,2022,341095,科幻,5249,1.539
原创,2023,227206,爱情,135140,59.479
原创,2023,227206,剧情,29686,13.066
原创,2023,227206,仙侠,14437,6.354
原创,2023,227206,轻小说,14347,6.315
原创,2023,227206,奇幻,12335,5.429
原创,2023,227206,惊悚,5989,2.636
原创,2023,227206,悬疑,4750,2.091
原创,2023,227206,科幻,4012,1.766
原创,2024,199741,爱情,112710,56.428
原创,2024,199741,剧情,29152,14.595
原创,2024,199741,仙侠,13884,6.951
原创,2024,199741,奇幻,12044,6.03
原创,2024,199741,轻小说,10535,5.274
原创,2024,199741,惊悚,5842,2.925
原创,2024,199741,悬疑,5271,2.639
原创,2024,199741,科幻,3975,1.99
原创,2025,253090,爱情,147285,58.195
原创,2025,253090,剧情,35037,13.844
原创,2025,253090,仙侠,18191,7.188
