market,orientation,year,count,year_total,share_pct
原创,言情,2003,2398,2691,89.112
原创,言情,2004,6638,8186,81.09
原创,言情,2005,16389,20473,80.052
原创,言情,2006,24102,30724,78.447
原创,言情,2007,38497,48539,79.311
原创,言情,2008,36973,49349,74.921
原创,言情,2009,41345,56284,73.458
原创,言情,2010,43833,63021,69.553
原创,言情,2011,42457,63067,67.32
原创,言情,2012,40598,62738,64.71
原创,言情,2013,52313,79178,66.07
原创,言情,2014,47982,75949,63.177
原创,言情,2015,52960,86434,61.272
原创,言情,2016,59595,100080,59.547
原创,言情,2017,64241,108871,59.007
原创,言情,2018,67121,121770,55.121
原创,言情,2019,69231,127934,54.115
原创,言情,2020,115741,239831,48.259
原创,言情,2021,137793,300759,45.815
原创,言情,2022,185704,341095,54.443
原创,言情,2023,115007,227206,50.618
原创,言情,2024,89552,199741,44.834
原创,言情,2025,102122,253090,40.35
原创,言情,2026,60912,151566,40.188
原创,纯爱,2003,278,2691,10.331
原创,纯爱,2004,1489,8186,18.19
原创,纯爱,2005,3882,20473,18.962
原创,纯爱,2006,6377,30724,20.756
原创,纯爱,2007,9637,48539,19.854
原创,纯爱,2008,10918,49349,22.124
原创,纯爱,2009,12158,56284,21.601
原创,纯爱,2010,15258,63021,24.211
原创,纯爱,2011,16459,63067,26.098
原创,纯爱,2012,18178,62738,28.974
原创,纯爱,2013,22813,79178,28.812
原创,纯爱,2014,21534,75949,28.353
原创,纯爱,2015,23691,86434,27.409
原创,纯爱,2016,28122,100080,28.1
原创,纯爱,2017,30362,108871,27.888
原创,纯爱,2018,38919,121770,31.961
原创,纯爱,2019,41762,127934,32.643
原创,纯爱,2020,92101,239831,38.402
原创,纯爱,2021,117950,300759,39.217
原创,纯爱,2022,104377,341095,30.601
原创,纯爱,2023,72977,227206,32.119
原创,纯爱,2024,68020,199741,34.054
原创,纯爱,2025,93838,253090,37.077
原创,纯爱,2026,57899,151566,38.201
原创,无CP,2003,2,2691,0.074
原创,无CP,2004,1,8186,0.012
原创,无CP,2005,12,20473,0.059
原创,无CP,2006,16,30724,0.052
原创,无CP,2007,35,48539,0.072
原创,无CP,2008,47,49349,0.095
原创,无CP,2009,81,56284,0.144
原创,无CP,2010,101,63021,0.16
原创,无CP,2011,139,63067,0.22
原创,无CP,2012,194,62738,0.309
原创,无CP,2013,353,79178,0.446
原创,无CP,2014,3579,75949,4.712
原创,无CP,2015,6540,86434,7.566
原创,无CP,2016,7953,100080,7.947
原创,无CP,2017,9119,108871,8.376
原创,无CP,2018,10107,121770,8.3
原创,无CP,2019,10696,127934,8.361
原创,无CP,2020,18504,239831,7.715
原创,无CP,2021,22229,300759,7.391
原创,无CP,2022,26341,341095,7.722
原创,无CP,2023,22072,227206,9.715
原创,无CP,2024,19257,199741,9.641
原创,无CP,2025,18762,253090,7.413
原创,无CP,2026,11888,151566,7.843
原创,百合,2003,13,2691,0.483
原创,百合,2004,54,8186,0.66
原创,百合,2005,185,20473,0.904
原创,百合,2006,206,30724,0.67
原创,百合,2007,312,48539,0.643
原创,百合,2008,1036,49349,2.099
原创,百合,2009,1833,56284,3.257
原创,百合,2010,2205,63021,3.499
原创,百合,2011,2383,63067,3.779
原创,百合,2012,2282,62738,3.637
原创,百合,2013,2891,79178,3.651
原创,百合,2014,2745,75949,3.614
原创,百合,2015,3186,86434,3.686
原创,百合,2016,4127,100080,4.124
原创,百合,2017,4838,108871,4.444
原创,百合,2018,5557,121770,4.564
原创,百合,2019,6136,127934,4.796
原创,百合,2020,13335,239831,5.56
原创,百合,2021,22520,300759,7.488
原创,百合,2022,24222,341095,7.101
原创,百合,2023,16432,227206,7.232
原创,百合,2024,15007,199741,7.513
原创,百合,2025,20715,253090,8.185
原创,百合,2026,12440,151566,8.208
原创,多元,2003,0,2691,0.0
原创,多元,2004,0,8186,0.0
原创,多元,2005,2,20473,0.01
原创,多元,2006,2,30724,0.007
原创,多元,2007,0,48539,0.0
原创,多元,2008,3,49349,0.006
原创,多元,2009,4,56284,0.007
原创,多元,2010,5,63021,0.008
原创,多元,2011,12,63067,0.019
原创,多元,2012,9,62738,0.014
原创,多元,2013,20,79178,0.025
原创,多元,2014,13,75949,0.017
原创,多元,2015,28,86434,0.032
原创,多元,2016,37,100080,0.037
原创,多元,2017,58,108871,0.053
原创,多元,2018,66,121770,0.054
原创,多元,2019,109,127934,0.085
原创,多元,2020,150,239831,0.063
原创,多元,2021,267,300759,0.089
原创,多元,2022,449,341095,0.132
原创,多元,2023,717,227206,0.316
原创,多元,2024,7904,199741,3.957
原创,多元,2025,17653,253090,6.975
原创,多元,2026,8427,151566,5.56
衍生,言情,2003,17,132,12.879
衍生,言情,2004,17,512,3.32
衍生,言情,2005,80,1739,4.6
衍生,言情,2006,273,4220,6.469
衍生,言情,2007,1096,8980,12.205
衍生,言情,2008,7014,15189,46.178
衍生,言情,2009,12894,22808,56.533
衍生,言情,2010,15442,30813,50.115
衍生,言情,2011,15661,32342,48.423
衍生,言情,2012,15059,30323,49.662
衍生,言情,2013,15433,32152,48.0
衍生,言情,2014,12741,26930,47.312
衍生,言情,2015,12148,25098,48.402
衍生,言情,2016,14077,27174,51.803
衍生,言情,2017,14967,28807,51.956
衍生,言情,2018,15972,30281,52.746
衍生,言情,2019,14612,28708,50.899
衍生,言情,2020,19463,40190,48.427
衍生,言情,2021,17441,39216,44.474
衍生,言情,2022,21007,42507,49.42
衍生,言情,2023,15977,34387,46.462
衍生,言情,2024,11716,28005,41.835
衍生,言情,2025,11882,28871,41.155
衍生,言情,2026,5756,13337,43.158
衍生,纯爱,2003,22,132,16.667
衍生,纯爱,2004,27,512,5.273
衍生,纯爱,2005,97,1739,5.578
衍生,纯爱,2006,401,4220,9.502
衍生,纯爱,2007,909,8980,10.122
衍生,纯爱,2008,5019,15189,33.044
衍生,纯爱,2009,8941,22808,39.201
衍生,纯爱,2010,13596,30813,44.124
衍生,纯爱,2011,14851,32342,45.919
衍生,纯爱,2012,13716,30323,45.233
衍生,纯爱,2013,15280,32152,47.524
衍生,纯爱,2014,11785,26930,43.762
衍生,纯爱,2015,9819,25098,39.123
衍生,纯爱,2016,9332,27174,34.342
衍生,纯爱,2017,9239,28807,32.072
衍生,纯爱,2018,9415,30281,31.092
衍生,纯爱,2019,8692,28708,30.277
