burst_year,keyword,count,prior3y_avg,growth_x
2018,佛系,178,4.7,38.1
2022,摆烂,701,20.0,35.0
2011,兽人,84,2.7,31.5
2019,穿书后,211,7.7,27.5
2019,书后,212,9.0,23.6
2006,清宫,112,5.0,22.4
2014,快穿,466,26.0,17.9
2014,穿书,124,7.7,16.2
2013,逆袭,143,9.7,14.8
2022,恋综,408,31.0,13.2
2013,系统,167,12.7,13.2
2017,电竞,158,12.3,12.8
2013,女配,287,23.0,12.5
2020,团宠,352,29.3,12.0
2020,绿茶,434,39.7,10.9
2018,大佬,520,50.3,10.3
2021,爱意,348,33.7,10.3
2017,大佬,122,12.0,10.2
2007,清穿,174,17.3,10.0
2014,男神,240,24.3,9.9
2019,沙雕,242,24.7,9.8
2023,发疯,289,29.7,9.7
2007,女尊,124,13.7,9.1
2011,末世,165,18.3,9.0
2018,戏精,153,17.7,8.7
2019,成反派,149,17.3,8.6
2018,七零,144,17.3,8.3
2006,穿越,291,37.3,7.8
2019,霸总,299,40.0,7.5
2015,快穿,1306,180.0,7.3
2020,咸鱼,651,89.0,7.3
2015,病娇,95,13.3,7.1
2020,穿书后,527,78.0,6.8
2019,重生后,303,44.3,6.8
2020,师尊,821,122.7,6.7
2020,书后,533,79.3,6.7
2014,系统,452,67.0,6.7
2019,成反,154,23.0,6.7
2021,晚风,404,61.7,6.6
2019,生后,308,46.7,6.6
2019,穿成,1404,215.7,6.5
2007,穿越,865,133.0,6.5
2012,末世,432,68.7,6.3
2014,男主,126,20.0,6.3
2021,玫瑰,1553,263.0,5.9
2019,心尖,163,27.7,5.9
2020,马甲,327,56.7,5.8
2017,直播,151,26.7,5.7
2015,黑化,97,17.0,5.7
2018,今天,637,113.3,5.6
2020,神明,356,63.3,5.6
2015,么破,100,18.0,5.6
2019,大佬,1206,220.7,5.5
2018,小甜,155,28.3,5.5
2021,盛夏,620,114.3,5.4
2018,白月光,283,52.3,5.4
2020,星河,484,91.3,5.3
2018,白月,289,55.0,5.3
2020,月亮,440,84.0,5.2
2021,爆红,354,68.0,5.2
2020,文里,286,54.7,5.2
2013,炮灰,150,28.7,5.2
2006,天下,168,33.0,5.1
2007,网游,150,29.7,5.1
2011,空间,86,17.0,5.1
2020,心动,544,109.3,5.0
2006,王子,153,30.3,5.0
2014,反派,120,24.0,5.0
2018,穿成,442,90.0,4.9
2015,穿书,239,48.3,4.9
2013,微小,110,22.7,4.9
2006,□□,94,19.3,4.9
2020,无限,1085,225.0,4.8
2019,爱豆,188,39.3,4.8
2020,救赎,645,136.0,4.7
2019,无限,454,95.7,4.7
2019,恶毒,200,42.3,4.7
2019,偏执,166,35.7,4.7
2007,古代,155,33.0,4.7
2014,主角,152,32.7,4.7
2013,微小说,106,22.7,4.7
2021,心动,1237,268.0,4.6
2007,网王,85,18.7,4.6
2006,恶魔,176,39.3,4.5
2021,神明,747,168.0,4.4
2020,千金,360,81.3,4.4
2013,剑三,84,19.0,4.4
2020,人设,402,93.7,4.3
2020,替身,345,79.7,4.3
2007,红颜,154,36.0,4.3
2013,攻略,112,26.0,4.3
2014,末世重,112,26.0,4.3
2015,脑洞,103,24.0,4.3
2006,**,453,108.3,4.2
2006,***,453,107.0,4.2
2015,男神,440,103.7,4.2
2021,风吹,440,103.7,4.2
2020,偏执,339,81.7,4.2
2017,套路,126,30.3,4.2
2020,生后,590,144.3,4.1
2020,重生后,571,140.7,4.1
2019,白月光,563,137.7,4.1
2021,信息,356,86.0,4.1
2021,息素,340,83.0,4.1
2021,信息素,340,83.0,4.1
2021,件事,326,80.3,4.1
2013,修仙,148,36.3,4.1
2007,梦里,92,22.3,4.1
2019,穿书,2464,614.3,4.0
2016,快穿,2453,609.7,4.0
2019,白月,574,142.0,4.0
2020,人迷,439,111.0,4.0
2020,万人迷,438,109.3,4.0
2021,顶流,423,106.3,4.0
2019,豪门,422,106.0,4.0
2020,剧本,348,88.0,4.0
2017,王者,135,34.0,4.0
2016,怎么办,126,31.7,4.0
2016,怎么破,107,27.0,4.0
2013,女主,90,22.3,4.0
