year,爱情,剧情,轻小说,仙侠,奇幻
2003,80.751,0.037,0.0,0.111,5.797
2004,81.163,0.012,0.0,0.012,7.855
2005,81.688,0.0,0.0,0.049,8.875
2006,80.422,0.003,0.013,0.101,8.772
2007,81.207,0.025,0.006,0.117,8.42
2008,84.512,0.022,0.022,0.825,5.688
2009,86.911,0.021,0.034,1.251,4.307
2010,88.183,0.021,0.035,1.311,4.075
2011,87.012,0.025,0.036,1.76,4.383
2012,86.92,0.056,0.059,1.892,4.214
2013,86.158,0.054,0.076,2.271,4.383
2014,84.125,0.062,0.076,3.384,4.887
2015,82.505,0.118,0.15,3.752,5.472
2016,83.269,0.136,0.759,3.226,5.139
2017,81.913,0.224,2.789,3.243,4.929
2018,74.159,0.41,4.282,5.06,6.962
2019,68.148,4.975,6.05,5.419,6.906
2020,66.681,8.961,5.582,5.453,5.714
2021,66.265,9.391,6.584,5.223,4.973
2022,64.651,10.539,7.013,4.992,5.104
2023,59.479,13.066,6.315,6.354,5.429
2024,56.428,14.595,5.274,6.951,6.03
2025,58.195,13.844,4.982,7.188,5.858
2026,58.346,13.814,4.636,7.611,5.742
