year,东方衍生,其他衍生,轻小说,西方衍生
2003,30.303,68.939,0.758,0.0
2004,12.305,87.5,0.195,0.0
2005,14.204,85.739,0.0,0.0
2006,19.763,80.047,0.047,0.118
2007,27.272,72.205,0.134,0.301
2008,82.066,16.275,0.066,1.442
2009,96.093,0.399,0.066,3.095
2010,95.817,0.497,0.123,2.976
2011,94.212,0.662,0.152,4.118
2012,94.364,1.616,0.122,3.199
2013,92.402,2.414,0.252,4.152
2014,91.352,2.495,0.319,4.786
2015,89.868,3.474,0.442,4.976
2016,88.36,4.118,0.887,5.502
2017,85.045,4.707,2.135,6.741
2018,65.88,11.539,10.175,10.178
2019,30.591,27.741,25.502,12.018
2020,26.313,29.647,29.159,11.179
2021,22.537,32.63,29.934,11.393
2022,21.599,35.147,26.407,13.16
2023,24.916,33.539,25.832,12.208
2024,23.585,34.812,23.996,14.297
2025,28.284,31.18,22.278,13.976
2026,26.295,30.749,21.976,14.561
