year,言情,纯爱,无CP,百合,多元
2003,12.879,16.667,0.0,0.0,0.0
2004,3.32,5.273,0.781,0.391,0.0
2005,4.6,5.578,0.518,0.345,0.0
2006,6.469,9.502,0.118,0.19,0.0
2007,12.205,10.122,0.379,0.111,0.011
2008,46.178,33.044,0.244,0.625,0.0
2009,56.533,39.201,0.281,1.052,0.013
2010,50.115,44.124,0.354,1.064,0.006
2011,48.423,45.919,0.526,1.401,0.012
2012,49.662,45.233,0.699,1.533,0.036
2013,48.0,47.524,1.204,2.006,0.022
2014,47.312,43.762,6.532,2.228,0.03
2015,48.402,39.123,10.208,2.211,0.024
2016,51.803,34.342,10.643,2.889,0.029
2017,51.956,32.072,13.111,2.541,0.052
2018,52.746,31.092,13.563,2.51,0.086
2019,50.899,30.277,16.306,2.435,0.084
2020,48.427,30.662,18.228,2.523,0.159
2021,44.474,30.944,21.371,2.999,0.212
2022,49.42,23.989,23.288,3.07,0.233
2023,46.462,24.669,25.309,2.99,0.567
2024,41.835,23.942,25.36,2.66,6.202
2025,41.155,24.641,20.616,3.006,10.582
2026,43.158,25.073,18.835,2.962,9.972
