year,n,top1pct_share,top10pct_share,median_score
2003,2691,48.37,84.7,90207
2004,8186,47.03,86.97,72391
2005,20473,59.99,89.27,60772
2006,30724,64.72,91.55,58132
2007,48539,65.24,92.05,61123
2008,49349,64.46,94.15,70138
2009,56284,65.72,94.9,75563
2010,63021,70.64,95.71,72124
2011,63067,71.96,96.08,73349
2012,62738,72.91,96.45,75030
2013,79178,75.59,97.25,72276
2014,75949,71.78,97.01,88701
2015,86434,76.01,97.62,86396
2016,100080,73.6,97.87,80455
2017,108871,70.91,97.77,86457
2018,121770,67.85,97.26,90002
2019,127934,64.86,96.74,82610
2020,239831,74.26,98.94,53320
2021,300759,76.5,99.26,36149
2022,341095,76.94,99.24,38223
2023,227206,70.72,98.75,49243
2024,199741,69.76,97.86,57836
2025,253090,72.78,97.52,61226
2026,151566,75.34,96.76,53953
